Activo,Beta,Beta_Alternativa,Alfa,R_Squared,Correlacion,Volatilidad_Activo,Volatilidad_Indice,P_Value,Std_Error,Ticker,Sector
35,0.610415070324003,0.6107624892598733,0.0002616607121680857,0.15678707432099367,0.39596347599367504,0.017651937416660594,0.0114504422274728,4.503522785540134e-67,0.033781310310059987,35,Healthcare Equipment & Supplies
36,0.7196320017504062,0.7200415817172533,0.0003516884814593642,0.2822728902523869,0.5312936008012773,0.015509512346198432,0.0114504422274728,1.2188922123905654e-128,0.027383774035687827,36,Consumer Goods Conglomerates
37,0.5679518984377128,0.5682751493759244,-0.00010800025756179947,0.11153500576695997,0.33396857002861813,0.019472791707576712,0.0114504422274728,4.572632216354299e-47,0.03825285579865637,37,Pharmaceuticals
38,1.2384506020994352,1.2391554686914101,-0.0003286004456809803,0.40458464842866176,0.6360696883429219,0.022294423599813554,0.0114504422274728,5.857778254550299e-200,0.03585269006807624,38,Software & IT Services
39,-0.06683761457852375,-0.06687565533810173,0.0003857296696264953,0.0009085685609238667,-0.030142471048735648,0.025390096356601853,0.0114504422274728,0.20651119963823128,0.052891081878994675,39,Metals & Mining
40,0.7195387586123141,0.7199482855096462,0.00041584204433193746,0.15386110026919794,0.39225132283932196,0.02100448489575333,0.0114504422274728,9.516608042235336e-66,0.040266914319904035,40,Textiles & Apparel
41,0.40430974631544075,0.4045398600014484,0.0008224016143846844,0.14752806593252404,0.3840938243873808,0.01205311071994741,0.0114504422274728,6.774564567521723e-63,0.023192879690120603,41,Residential & Commercial REITs
42,1.7960048534806545,1.797027053169602,-0.00035533728060719596,0.3687853216242199,0.6072769727432613,0.03386436624155561,0.0114504422274728,1.1253611384382675e-177,0.056072120648746566,42,Software & IT Services
43,0.49463819205986836,0.49491971635813814,0.00098316894606317,0.10204019591392409,0.3194373113991603,0.01773063396030701,0.0114504422274728,5.403038234799591e-43,0.03501613409140146,43,Oil & Gas
44,0.3551574981162953,0.3553596367037264,0.0003525781937906499,0.07942795996066414,0.2818296647989068,0.014429674806362662,0.0114504422274728,1.86012772955091e-33,0.02885366054775666,44,Beverages
45,0.6394130938480302,0.639777017065929,-5.472050572849669e-05,0.15717980913736934,0.396459088857059,0.018467385151147993,0.0114504422274728,2.9879438513774234e-67,0.03533363811653989,45,Pharmaceuticals
46,0.3436346219978208,0.34383020231768296,0.00017704400246896994,0.05331398865246459,0.23089822141468438,0.017041137703173587,0.0114504422274728,1.0489311545626824e-22,0.03455548955451247,46,Personal & Household Products & Services
47,0.31845188537636476,0.3186331328922307,0.0008134206875257539,0.10985756811248316,0.3314476853328187,0.011001479500664962,0.0114504422274728,2.4136046471941904e-46,0.021631982856248785,47,Residential & Commercial REITs
48,1.0099840154296382,1.0105588498151987,0.0009688211211912848,0.22831303232788436,0.47782113005588644,0.024203123076611203,0.0114504422274728,5.927386924721128e-101,0.04431058426584758,48,Hotels & Entertainment Services
49,0.7064622297546537,0.7068643141199096,0.0005043720452557471,0.1279600088421883,0.357714982691791,0.022613827597674493,0.0114504422274728,3.2762127272744777e-54,0.04401064790911909,49,Oil & Gas Related Equipment and Services
50,0.2893549643798993,0.2895196513260461,0.0007389246649096391,0.058672527795621446,0.24222412719549932,0.013678415693868375,0.0114504422274728,6.85307836347347e-25,0.02765805584163694,50,Electric Utilities & IPPs
51,0.3713905118265835,0.3716018894656425,0.0010755226298103631,0.12154342955992396,0.3486307926158044,0.01219796325962593,0.0114504422274728,2.098467134718268e-51,0.023826648226798242,51,Residential & Commercial REITs
52,0.7664791284281048,0.7669153715290885,3.987025025434233e-05,0.19694178083921499,0.44378123083250715,0.019776692588295095,0.0114504422274728,9.984792245021861e-86,0.03693538777094689,52,Telecommunications Services
53,0.6556467327381849,0.656019895363534,0.0004808851108793292,0.21038985696186793,0.4586827410769539,0.016367402482210136,0.0114504422274728,3.511948491348581e-92,0.03031109359844175,53,Freight & Logistics Services
54,0.5715717838512975,0.5718970950544002,0.00010822846059553785,0.20944266143124113,0.457649059248723,0.014300804421157814,0.0114504422274728,1.0084600026382578e-91,0.02649980259854353,54,Freight & Logistics Services
55,0.8953710204897206,0.8958806226641599,0.00045164150269509244,0.28361621107443613,0.5325562985022674,0.019251286992763378,0.0114504422274728,2.347452688431616e-129,0.033958470991485336,55,Banking Services
56,0.3054936682661864,0.30566754058733964,0.0009528714197373766,0.09209506646478814,0.3034716897253979,0.011526734511894584,0.0114504422274728,9.006286565507249e-39,0.0228897981426611,56,Residential & Commercial REITs
57,0.7639168961388676,0.7643516809403126,-0.00011478627784184068,0.21864398030671733,0.46759381979097764,0.018706804742925347,0.0114504422274728,3.39045345138592e-96,0.03446192863346218,57,Telecommunications Services
58,0.6949703597978029,0.6953659035427078,0.00043131191282849815,0.29409777051951363,0.5423078189732412,0.014673802730222814,0.0114504422274728,5.527098219676159e-135,0.02569392412902347,58,Banking Services
59,0.8220012128491191,0.8224690564534727,-0.00019763044027539938,0.2579874858922941,0.5079246852558892,0.018530852450889576,0.0114504422274728,6.225421162603368e-116,0.03326721900662101,59,Food & Drug Retailing
60,0.5869478517247634,0.5872819142470882,0.0004572254384672831,0.19564359210332435,0.44231616758075254,0.015194589208604208,0.0114504422274728,4.13693945707194e-85,0.028400678172393258,60,Oil & Gas
